District,State,State No,Population,Confirmed,Active,Recovered,Deceased,Aged,Rank Number,Actual Number,Cluster
Hoshiarpur,Punjab,24,1586625,7617,185,7129,303,145969.5,1261.717419,327715.15,3
Sonitpur,Assam,3,1924110,2548,802,1727,19,119294.82,1246.015847,96509.592,0
Pratapgarh,Rajasthan,25,867848,1164,88,1057,19,59013.664,1223.521894,99977.7,3
Tinsukia,Assam,3,1327929,3366,1526,1798,42,82331.598,1217.715773,105004.564,0
Mansa,Punjab,24,769751,2377,44,2282,51,70817.092,1208.625095,137539.708,3
Thrissur,Kerala,14,3121200,71491,6435,64735,313,330847.2,1205.546714,132668.952,2
Thoubal,Manipur,18,422168,2255,2192,23,40,42216.8,1203.649367,85511.44,0
Sitamarhi,Bihar,4,3423574,4300,135,4151,14,229379.458,1202.686505,84835.656,0
Jhabua,Madhya Pradesh,16,1025048,2284,99,2159,26,73803.456,1189.781549,94061.38,0
Sambalpur,Odisha,22,1041099,9193,180,8937,76,86411.217,1181.680517,83147.34,3
Nainital,Uttarakhand,31,954605,10755,1030,9469,200,84005.24,1179.407056,140994.59,3
Mayurbhanj,Odisha,22,2519738,13790,101,13598,91,209138.254,1175.261453,127864.46,3
Rajnandgaon,Chhattisgarh,6,1537133,17795,1232,16402,161,115284.975,1168.12694,105989.925,0
Uttar Dinajpur,West Bengal,32,3007134,6333,160,6102,71,213506.514,1163.585174,186888.859,3
Datia,Madhya Pradesh,16,786754,1798,51,1727,20,56646.288,1158.494691,77456.55,0
Srikakulam,Andhra Pradesh,1,2703114,45889,163,45380,346,208139.778,1156.598364,141549.84,0
Hassan,Karnataka,13,1776421,27842,262,27187,393,140337.259,1152.02703,163299.825,0
Chandauli,Uttar Pradesh,30,1952756,4621,144,4419,58,136692.92,1134.046712,146492.15,3
Thiruvarur,Tamil Nadu,27,1264277,10844,111,10624,109,112520.653,1131.017209,112520.653,3
Guna,Madhya Pradesh,16,1241519,1410,82,1305,23,89389.368,1121.631442,134109.027,0
Shahdol,Madhya Pradesh,16,1066063,2893,70,2793,30,76756.536,1109.695372,90817.468,0
Barwani,Madhya Pradesh,16,1385881,2648,118,2508,22,99783.432,1108.909218,91640.255,0
Jhalawar,Rajasthan,25,1411129,3313,129,3162,22,95956.772,1103.350198,78215.27,3
Anand,Gujarat,8,2092745,2196,85,2094,17,146492.15,1091.0453,112587.48,0
Aurangabad,Bihar,4,3701282,5083,75,4993,15,247985.894,1089.411607,84101.03,0
Deoghar,Jharkhand,12,1492073,3584,19,3542,23,92508.526,1087.14596,72838.78,0
Kannauj,Uttar Pradesh,30,1656616,3432,41,3344,47,115963.12,1086.54894,142655.751,3
Aurangabad,Maharashtra,17,2540073,47419,1017,45191,1196,226066.497,1086.182539,327147.058,2
Pratapgarh,Uttar Pradesh,30,3209141,5225,181,4978,66,224639.87,1081.160652,217831.01,3
Bundi,Rajasthan,25,1110906,2763,259,2487,17,75541.608,1080.558549,56810.736,3
Dewas,Madhya Pradesh,16,1563715,2683,105,2552,26,112587.48,1079.027316,111139.812,0
Katni,Madhya Pradesh,16,1292042,2080,57,2006,17,93027.024,1066.449008,85754.6,0
Mandi,Himachal Pradesh,10,999777,9397,1076,8206,115,99977.7,1064.487273,119015.596,0
Kamrup,Assam,3,1517542,4590,2482,2074,34,94087.604,1052.379406,81647.104,0
Bharatpur,Rajasthan,25,2548462,8890,176,8596,118,173295.416,1047.973775,180524.498,3
Chitradurga,Karnataka,13,1659456,14171,176,13927,68,131097.024,1046.614423,77299.95,0
Imphal East,Manipur,18,456113,5366,5146,150,70,45611.3,1046.228036,73313.78,0
Sultanpur,Uttar Pradesh,30,3797117,4724,259,4390,75,265798.19,1044.418319,279349.75,3
Puri,Odisha,22,1698730,13987,121,13749,117,140994.59,1043.039082,115284.975,3
Dhenkanal,Odisha,22,1192811,5688,12,5648,28,99003.313,1031.970657,59291.406,3
Dungarpur,Rajasthan,25,1388552,4500,486,3980,34,94421.536,1027.310462,82331.598,3
Karauli,Rajasthan,25,1458248,1484,55,1409,20,99160.864,1009.491444,124275.6,3
Viluppuram,Tamil Nadu,27,3458873,14916,84,14722,110,307839.697,1008.175949,175073.616,3
Lakhimpur,Assam,3,1042137,3006,1847,1135,24,64612.494,1001.320327,60924.78,0
Kheda,Gujarat,8,2299885,2847,114,2717,16,160991.95,985.3390877,96650.168,0
Bhilwara,Rajasthan,25,2408523,9326,350,8938,38,163779.564,969.5956071,80651.504,3
Hazaribagh,Jharkhand,12,1734495,4335,68,4232,35,107538.69,968.5926202,95491.838,0
Navsari,Gujarat,8,1329672,1555,23,1524,8,93077.04,963.2814538,59013.664,0
Doda,Jammu and Kashmir,11,409936,3356,90,3205,61,28695.52,949.9596413,62507.346,0
Tiruchirappalli,Tamil Nadu,27,2722290,14010,205,13632,173,242283.81,946.3624148,225545.634,3
Gautam Buddha Nagar,Uttar Pradesh,30,1648115,24716,542,24085,89,115368.05,919.2237187,51908,3
Kollam,Kerala,14,2635375,56436,3779,52433,211,279349.75,912.997456,105993.3,2
Sheopur,Madhya Pradesh,16,687861,1378,53,1311,14,49525.992,911.5372336,60845.112,0
Chirang,Assam,3,482162,280,53,219,8,29894.044,910.9603922,94739.877,0
Saharanpur,Uttar Pradesh,30,3466382,9608,474,9003,131,242646.74,909.4262901,249844.172,3
Sindhudurg,Maharashtra,17,849651,5951,403,5393,154,75618.939,904.7668704,160991.95,0
Amreli,Gujarat,8,1514190,3715,162,3521,32,105993.3,898.3654186,99153.216,0
Ghaziabad,Uttar Pradesh,30,4681645,25714,957,24658,99,327715.15,889.5610733,119294.82,3
Kendujhar,Odisha,22,1801733,7803,80,7686,37,149543.839,884.2233192,82232.77,3
Chandigarh,Chandigarh,5,1055450,19309,361,18634,314,46439.8,882.6923606,85528.244,0
Kaithal,Haryana,9,1074304,3724,52,3624,48,81647.104,868.247811,107538.69,0
Sheikhpura,Bihar,4,636342,2971,6,2953,12,42634.914,854.1155557,29894.044,0
Ernakulam,Kerala,14,3282388,79260,8043,70907,299,347933.128,850.3215273,122616.36,2
Rajouri,Jammu and Kashmir,11,642415,3805,219,3532,54,44969.05,850.2551068,78648.596,0
Shajapur,Madhya Pradesh,16,1512681,1649,68,1559,22,108913.032,845.1416372,133903.424,0
Korba,Chhattisgarh,6,1206640,15647,71,15473,103,90498,840.1444459,73803.456,0
Jhansi,Uttar Pradesh,30,1998603,10012,188,9647,177,139902.21,838.4466279,199026.247,3
Palamu,Jharkhand,12,1939869,3439,45,3374,20,120271.878,837.84638,81929.404,0
Bargarh,Odisha,22,1481255,10041,92,9909,40,122944.165,837.369955,59360.226,3
Buxar,Bihar,4,1706352,3956,49,3890,17,114325.584,831.6750866,59983.575,0
Wayanad,Kerala,14,817420,15565,2529,12987,48,86646.52,831.2047474,43790.3,0
Hamirpur,Himachal Pradesh,10,1104285,2717,219,2454,43,110428.5,830.6300405,148682.782,0
Goalpara,Assam,3,1008183,658,38,568,10,62507.346,829.0164191,99783.432,0
Udaipur,Rajasthan,25,3068420,11008,319,10581,108,208652.56,812.8047808,170001.23,3
Bandipora,Jammu and Kashmir,11,392232,4623,79,4485,59,27456.24,807.4534621,47841.618,0
Balrampur,Chhattisgarh,6,2148665,3297,193,3093,11,161149.875,800.0958713,66147.056,0
Muzaffarpur,Bihar,4,4801062,11382,242,11095,45,321671.154,797.1640667,119397.46,0
Giridih,Jharkhand,12,2445474,3406,6,3386,14,151619.388,795.9543789,76756.536,0
Auraiya,Uttar Pradesh,30,1379545,3448,106,3296,46,96568.15,771.5577732,120853.996,3
Kasaragod,Kerala,14,1307375,23748,1630,22030,84,138581.75,770.2634118,59476.824,0
Aurangabad,Bihar,4,2540073,5083,75,4993,15,170184.891,767.36034,60749.36,0
Jaunpur,Uttar Pradesh,30,4494204,6539,189,6253,97,314594.28,765.6725483,297853.004,3
Hoshangabad,Madhya Pradesh,16,1241350,3513,55,3399,59,89377.2,761.1676082,136329.121,0
Morigaon,Assam,3,957423,638,72,557,9,59360.226,760.5987203,93011.519,0
Dumka,Jharkhand,12,1321442,1369,15,1340,14,81929.404,760.3170302,93027.024,0
Kandhamal,Odisha,22,733110,5921,7,5881,33,60848.13,755.1969223,46439.8,3
Porbandar,Gujarat,8,585449,686,8,674,4,40981.43,748.8567542,42216.8,0
Moga,Punjab,24,995746,2728,34,2603,91,91608.632,746.8168507,229379.458,3
Fatehpur,Uttar Pradesh,30,2632733,3725,137,3523,65,184291.31,731.809597,247985.894,3
Samba,Jammu and Kashmir,11,318898,2708,241,2429,38,22322.86,719.7285248,45476.8,0
Udupi,Karnataka,13,1177361,22990,74,22728,188,93011.519,714.3753567,86411.217,0
Bhind,Madhya Pradesh,16,1703005,1442,21,1411,10,122616.36,713.4072029,94421.536,0
Fatehabad,Haryana,9,942011,4633,111,4407,115,71592.836,709.1018913,149543.839,0
Hanumangarh,Rajasthan,25,1774692,2920,96,2812,12,120679.056,702.1081967,60479.848,3
Aligarh,Uttar Pradesh,30,3673889,11094,175,10864,55,257172.23,699.4584257,120271.878,3
Jaisalmer,Rajasthan,25,669919,2104,170,1909,25,45554.492,697.2772001,67185.566,3
Ganganagar,Rajasthan,25,1969168,6496,71,6384,41,133903.424,696.9451765,94087.604,3
Dakshin Dinajpur,West Bengal,32,1676276,8050,89,7889,72,119015.596,692.8587305,107670.254,3
Alappuzha,Kerala,14,2127789,55054,3806,50996,231,225545.634,677.7982137,99297.432,2
Jorhat,Assam,3,1092256,8771,6965,1752,54,67719.872,670.6995663,52117.3,0
North Goa,Goa,7,818008,2668,1639,964,65,81800.8,667.3411249,163779.564,0
Malkangiri,Odisha,22,613192,5218,22,5169,27,50894.936,661.3095571,43150.45,3
Saharsa,Bihar,4,1900661,6675,61,6602,12,127344.287,658.1629222,41073.48,0
Solan,Himachal Pradesh,10,580320,6205,850,5289,66,58032,648.0644893,75953.16,0
West Garo Hills,Meghalaya,19,643291,1704,21,1667,16,32164.55,638.1941471,44969.05,0
Dibrugarh,Assam,3,1326335,9486,6975,2409,102,82232.77,637.2016162,95956.772,0
Tehri Garhwal,Uttarakhand,31,618931,4053,278,3650,16,54465.928,631.0200034,39230.8,3
Sirmaur,Himachal Pradesh,10,529855,3117,188,2902,27,52985.5,630.1033418,56646.288,0
Uttara Kannada,Karnataka,13,1437169,14161,100,13886,175,113536.351,629.0732648,131097.024,0
Vidisha,Madhya Pradesh,16,1458875,3383,121,3202,60,105039,623.2152711,151619.388,0
Rewa,Madhya Pradesh,16,2365106,3737,184,3520,33,170287.632,621.0072886,136866.751,0
South Tripura,Tripura,29,876001,4041,28,3987,23,58692.067,619.48393,46422.576,3
Churachandpur,Manipur,18,274143,1404,1322,58,24,27414.3,617.2621847,58032,0
Pilibhit,Uttar Pradesh,30,2031007,4113,65,3971,77,142170.49,608.017629,209302.406,3
Nabarangapur,Odisha,22,1220946,5792,34,5743,15,101338.518,607.7913339,42658.268,3
Bikaner,Rajasthan,25,2363937,18954,97,18692,165,160747.716,604.8643393,130880.127,3
Madhepura,Bihar,4,2001762,4777,39,4721,17,134118.054,600.192968,58904.65,0
Kozhikode,Kerala,14,3086293,82526,5315,76924,274,327147.058,597.2073821,110200.076,2
Dhubri,Assam,3,1949258,1723,497,1215,11,120853.996,595.7240805,90498,0
Jehanabad,Bihar,4,1125313,4405,99,4287,19,75395.971,595.003924,45611.3,0
Jharsuguda,Odisha,22,579505,7413,71,7316,26,48098.915,594.2762,29713.81,3
Kullu,Himachal Pradesh,10,437903,4320,213,4023,82,43790.3,593.6652323,92508.526,0
Hingoli,Maharashtra,17,1177345,4141,77,3969,95,104783.705,582.2215417,188375.123,0
Harda,Madhya Pradesh,16,570465,1997,53,1912,32,41073.48,572.307051,79911.487,0
Jashpur,Chhattisgarh,6,851669,3229,271,2937,21,63875.175,559.4264391,51799.2,0
Rayagada,Odisha,22,967911,8355,22,8289,44,80336.613,558.8395468,52487.928,3
Una,Himachal Pradesh,10,521173,2642,167,2441,34,52117.3,549.714926,81146.376,0
Kamrup Metropolitan,Assam,3,1253938,50003,34484,15370,149,77744.156,547.8669343,41296.1,4
Pathanamthitta,Kerala,14,1197412,27512,4782,22682,46,126925.672,546.2235018,38848.95,0
Almora,Uttarakhand,31,622506,3021,317,2598,22,54780.528,544.2049332,51563.416,3
Panna,Madhya Pradesh,16,1016520,1003,41,958,4,73189.44,542.1658704,43807.001,0
Bilaspur,Himachal Pradesh,10,381956,2779,236,2519,23,38195.6,541.2843505,45554.492,0
Banda,Uttar Pradesh,30,1799410,3660,122,3500,38,125958.7,540.1116755,122522.256,3
Yamunanagar,Haryana,9,1214205,6301,194,5973,134,92279.58,537.6549639,161149.875,0
Sidhi,Madhya Pradesh,16,1127033,1919,66,1840,13,81146.376,537.3429345,70471.528,0
Faridkot,Punjab,24,617508,3838,73,3692,73,56810.736,536.7867966,108967.728,3
Dhamtari,Chhattisgarh,6,799781,7573,534,6934,105,59983.575,535.5174015,92767.409,0
Mahoba,Uttar Pradesh,30,875958,1442,41,1390,11,61317.06,526.7950989,57567,3
Ratlam,Madhya Pradesh,16,1455069,4229,263,3891,75,104764.968,525.86356,151208.33,0
Thanjavur,Tamil Nadu,27,2405890,16970,187,16551,232,214124.21,521.6877289,218729.473,3
Lohardaga,Jharkhand,12,461790,1761,35,1716,10,28630.98,521.5812497,28695.52,0
Ambala,Haryana,9,1128350,11338,241,10956,141,85754.6,520.309859,108571.33,0
Kaimur,Bihar,4,1626384,2030,33,1987,10,108967.728,515.8682197,64612.494,0
Sirohi,Rajasthan,25,1036346,3541,133,3381,27,70471.528,509.1254651,64658.932,3
Anuppur,Madhya Pradesh,16,749237,1979,17,1948,14,53945.064,503.1668437,49525.992,0
Satna,Madhya Pradesh,16,2228935,3180,140,2999,41,160483.32,502.2178257,170184.891,0
Gandhinagar,Gujarat,8,1391753,7921,325,7492,104,97422.71,495.9413211,120679.056,0
Khordha,Odisha,22,2251673,52521,223,51971,327,186888.859,491.2879024,114325.584,3
Barnala,Punjab,24,595527,2262,43,2155,64,54788.484,490.1830512,138581.75,3
Anantnag,Jammu and Kashmir,11,1078692,4752,108,4561,83,75508.44,489.768613,122944.165,0
Ashoknagar,Madhya Pradesh,16,845071,1068,62,990,16,60845.112,487.3580647,99003.313,0
Begusarai,Bihar,4,2970541,7596,112,7452,32,199026.247,478.8529823,93077.04,0
Raigarh,Chhattisgarh,6,1493984,20825,381,20168,276,112048.8,477.288467,134118.054,0
Theni,Tamil Nadu,27,1245899,16827,77,16547,203,110885.011,474.5462,125025.971,3
Kendrapara,Odisha,22,1440361,8948,124,8795,29,119549.963,468.8866999,50304.847,3
Latehar,Jharkhand,12,726978,1867,12,1849,6,45072.636,468.6205102,27414.3,0
Bharuch,Gujarat,8,1551019,3756,131,3607,18,108571.33,467.7445609,61317.06,0
Panchkula,Haryana,9,561293,9826,261,9425,140,42658.268,464.7873444,75541.608,0
Chitrakoot,Uttar Pradesh,30,991730,2121,48,2060,13,69421.1,458.9696735,52985.5,3
Burhanpur,Madhya Pradesh,16,757847,841,7,807,27,54564.984,457.5450549,149348.092,0
Nagaur,Rajasthan,25,3307743,9271,217,8964,90,224926.524,451.8817865,171654.804,3
Bageshwar,Uttarakhand,31,259898,1458,151,1291,16,22871.024,444.8653032,42540.246,3
Udalguri,Assam,3,831668,758,84,666,8,51563.416,444.0432166,68425.232,0
Munger,Bihar,4,1367765,4132,64,4018,50,91640.255,439.546235,111681.362,0
Mandla,Madhya Pradesh,16,1054905,1172,35,1127,10,75953.16,438.933655,79245.808,0
Kannur,Kerala,14,2523003,38243,3469,34578,188,267438.318,435.5668633,122938.76,2
Hailakandi,Assam,3,659296,1632,509,1116,7,40876.352,431.0180323,31833.76,0
North Tripura,Tripura,29,693947,2751,29,2700,15,46494.449,430.9874503,42542.632,3
Udhampur,Jammu and Kashmir,11,554985,4054,116,3881,57,38848.95,425.4946954,69421.1,0
Kathua,Jammu and Kashmir,11,616435,3132,75,3009,48,43150.45,423.0773477,80336.613,0
Kodagu,Karnataka,13,554519,5656,114,5472,70,43807.001,416.9277531,67719.872,0
Baran,Rajasthan,25,1222755,2322,220,2069,33,83147.34,415.4295035,115368.05,3
Darrang,Assam,3,928500,1967,219,1730,18,57567,415.416097,63875.175,0
Palwal,Haryana,9,1042708,4333,34,4275,24,79245.808,398.9313615,54780.528,0
Ramgarh,Jharkhand,12,949443,4406,70,4309,27,58865.466,398.1486296,47958.811,0
Bijapur,Chhattisgarh,6,255230,3969,30,3911,28,19142.25,395.3512377,23739.9,0
Imphal West,Manipur,18,517992,8426,8283,52,91,51799.2,394.1168816,71335.154,0
Cachar,Assam,3,1736617,6216,4678,1498,40,107670.254,393.6209073,81440.162,0
Ranchi,Jharkhand,12,2914253,29973,748,29014,211,180683.686,387.4552135,119549.963,0
Pithoragarh,Uttarakhand,31,483439,3060,353,2676,31,42542.632,381.6224874,53945.064,3
Faridabad,Haryana,9,1809733,45178,664,44117,397,137539.708,376.5872741,117947.135,0
Ukhrul,Manipur,18,183998,534,514,18,2,18399.8,372.8844833,14418.2,0
Bhadrak,Odisha,22,1506337,7377,30,7319,28,125025.971,360.7279877,58865.466,3
Pauri Garhwal,Uttarakhand,31,687271,4910,209,4620,57,60479.848,353.8839935,82012.608,3
Chamoli,Uttarakhand,31,391605,3330,229,3029,14,34461.24,350.4041128,27456.24,3
Rajkot,Gujarat,8,3804558,19589,1347,18054,188,266319.06,346.0071192,205758.943,0
Bijapur,Chhattisgarh,6,2177331,3969,30,3911,28,163299.825,345.9441414,113256.8,0
Chatra,Jharkhand,12,1042886,1397,23,1363,11,64658.932,339.1299333,60848.13,0
Perambalur,Tamil Nadu,27,565223,2253,2,2230,21,50304.847,334.0552901,58692.067,3
Supaul,Bihar,4,2229076,5549,39,5493,17,149348.092,331.977732,56491.54,0
Baksa,Assam,3,950075,687,233,447,7,58904.65,325.2039338,75395.971,0
Bongaigaon,Assam,3,738804,1303,463,834,6,45805.848,316.1204596,38195.6,0
Dima Hasao,Assam,3,214102,237,36,199,2,13274.324,313.2454437,22322.86,0
Jamtara,Jharkhand,12,791042,1240,13,1223,4,49044.604,307.5692191,28646.7,0
Nuapada,Odisha,22,610382,7246,86,7134,26,50661.706,302.0145424,32164.55,3
Ramban,Jammu and Kashmir,11,283713,2083,36,2026,21,19859.91,301.3237237,33378.45,0
Kulgam,Jammu and Kashmir,11,424483,2650,70,2527,53,29713.81,291.8821215,73189.44,0
Palakkad,Kerala,14,2809934,46292,5245,40921,119,297853.004,267.2041775,86646.52,2
Gajapati,Odisha,22,577817,3975,12,3930,33,47958.811,263.3505533,50894.936,3
Gadchiroli,Maharashtra,17,1072942,8380,263,8026,85,95491.838,262.4443658,101338.518,0
Khunti,Jharkhand,12,531885,2104,26,2073,5,32976.87,260.973119,16017.76,0
Kishanganj,Bihar,4,1690400,4256,116,4127,13,113256.8,253.5139123,46494.449,0
Kishtwar,Jammu and Kashmir,11,230696,2714,56,2637,21,16148.72,250.9851765,22871.024,0
Arwal,Bihar,4,700843,2269,37,2221,11,46956.481,238.9587841,40981.43,0
Bokaro,Jharkhand,12,2062330,6419,77,6283,59,127864.46,233.4570885,114510.701,0
Pulwama,Jammu and Kashmir,11,560440,5471,181,5202,88,39230.8,231.6636687,77744.156,0
Thoothukkudi,Tamil Nadu,27,1750176,15998,87,15770,141,155765.664,228.933574,127344.287,3
Katihar,Bihar,4,3071029,7136,121,7003,12,205758.943,227.642719,46956.481,0
Godda,Jharkhand,12,1313551,2069,9,2050,10,81440.162,227.1084743,50645.189,0
Hamirpur,Uttar Pradesh,30,454768,1551,19,1511,21,31833.76,215.0147627,54465.928,3
Janjgir Champa,Chhattisgarh,6,1619707,18269,214,17849,206,121478.025,212.2194697,126925.672,0
Tapi,Gujarat,8,807022,1021,14,1001,6,56491.54,210.924845,45805.848,0
East Khasi Hills,Meghalaya,19,825922,8216,204,7903,109,41296.1,203.0647016,70078.688,0
Uttarkashi,Uttarakhand,31,330086,3498,274,3126,13,29047.568,201.6015459,20821.22,3
Kinnaur,Himachal Pradesh,10,84121,1292,62,1214,16,8412.1,200.2199268,19859.91,0
West Khasi Hills,Meghalaya,19,383461,173,5,167,1,19173.05,190.9434504,22026.69,0
Sahibganj,Jharkhand,12,1150567,1629,24,1596,9,71335.154,181.7836749,50661.706,0
Subarnapur,Odisha,22,610183,4683,1,4661,21,50645.189,175.327503,40876.352,3
Karaikal,Puducherry,23,200222,3744,45,3638,61,16017.76,172.2042936,42634.914,3
Chandel,Manipur,18,144182,348,335,4,9,14418.2,168.6998257,48098.915,0
Balaghat,Madhya Pradesh,16,1701698,2949,115,2821,13,122522.256,164.7692667,67061.104,0
Dimapur,Nagaland,21,378811,6385,111,6152,50,18940.55,162.583654,28630.98,0
Jamui,Bihar,4,1760405,3132,27,3095,10,117947.135,158.2083779,49044.604,0
Yanam,Puducherry,23,55626,2092,8,2039,45,4450.08,148.3206817,18940.55,3
Ganderbal,Jammu and Kashmir,11,297446,4441,108,4290,43,20821.22,144.8820831,34461.24,0
Bilaspur,Chhattisgarh,6,381956,17417,303,16927,187,28646.7,144.8504712,45072.636,0
Dhalai,Tripura,29,378230,3463,12,3431,19,25341.41,139.0374705,25341.41,3
Rudraprayag,Uttarakhand,31,242285,2166,115,2035,10,21321.08,135.0423334,19142.25,3
Simdega,Jharkhand,12,599578,2008,12,1991,5,37173.836,124.9532563,16148.72,0
Kota,Rajasthan,25,1951014,18048,578,17306,164,132668.952,120.8986332,117551.244,3
Jamnagar,Gujarat,8,2160119,10064,191,9838,35,151208.33,113.1521047,63563.206,0
Dindori,Madhya Pradesh,16,704524,942,21,920,1,50725.728,112.0196176,13274.324,0
Senapati,Manipur,18,479148,471,449,21,1,47914.8,110.826882,19173.05,0
Idukki,Kerala,14,1108974,15557,2985,12554,16,117551.244,110.0494908,22849.024,0
Lakhisarai,Bihar,4,1000912,3663,108,3546,9,67061.104,107.9526431,29047.568,0
Sheohar,Bihar,4,656246,1422,37,1384,1,43968.482,104.1746136,8412.1,0
Garhwa,Jharkhand,12,1322784,2781,37,2732,12,82012.608,101.7299243,47914.8,0
Champawat,Uttarakhand,31,259648,1661,190,1392,8,22849.024,98.43526875,21321.08,3
Upper Subansiri,Arunachal Pradesh,2,83448,441,1,438,2,4172.4,95.72351704,4450.08,0
West Siang,Arunachal Pradesh,2,112274,1029,4,1022,3,5613.7,94.87692441,3700.2,0
Mahendragarh,Haryana,9,922088,6557,57,6481,19,70078.688,92.56433859,37173.836,0
Reasi,Jammu and Kashmir,11,314667,1615,65,1536,14,22026.69,78.36709127,32976.87,0
Mokokchung,Nagaland,21,194622,172,47,118,1,9731.1,75.98904255,13399.4,0
Kiphire,Nagaland,21,74004,39,4,34,1,3700.2,68.91310214,18399.8,0
Gumla,Jharkhand,12,1025213,2247,33,2210,4,63563.206,57.56461034,22417.304,0
South Garo Hills,Meghalaya,19,142334,198,2,195,1,7116.7,56.57615804,9731.1,0
Bishnupur,Manipur,18,237399,1261,1182,58,21,23739.9,53.8489618,50725.728,0
Aizawl,Mizoram,20,400309,2726,62,2657,7,22417.304,53.19628983,14065.1,0
Kohima,Nagaland,21,267988,3703,117,3536,21,13399.4,47.02914389,15895.85,0
Tamenglong,Manipur,18,140651,1322,1285,32,5,14065.1,41.50249275,12513,0
Tuensang,Nagaland,21,196596,244,3,240,1,9829.8,40.28606896,9829.8,0
East Sikkim,Sikkim,26,283583,1477,368,1106,3,11343.32,35.94292893,7116.7,3
Punch,Jammu and Kashmir,11,476835,2437,30,2385,22,33378.45,30.92017544,43968.482,0
Changlang,Arunachal Pradesh,2,148226,1272,3,1265,4,7411.3,23.30597419,7411.3,0
East Garo Hills,Meghalaya,19,317917,338,4,333,1,15895.85,23.03991636,11343.32,0
Koraput,Odisha,22,1379647,7848,48,7784,16,114510.701,21.65659793,41320.79,3
Mahe,Puducherry,23,41816,1717,123,1586,8,3345.28,20.66177207,3636.472,3
Serchhip,Mizoram,20,64937,176,4,171,1,3636.472,19.10836019,5598.75,0
East Siang,Arunachal Pradesh,2,99214,1120,18,1098,4,4960.7,18.92244734,4172.4,0
West Kameng,Arunachal Pradesh,2,83947,916,10,902,4,4197.35,18.32903835,4197.35,0
Tirap,Arunachal Pradesh,2,111975,586,5,579,2,5598.75,17.71678784,4960.7,0
Narmada,Gujarat,8,590297,1908,59,1848,1,41320.79,16.36647289,5613.7,0
Narayanpur,Chhattisgarh,6,139820,1912,43,1867,2,10486.5,15.58662631,3345.28,0
Mon,Nagaland,21,250260,603,13,579,2,12513,10.96914116,10486.5,0
Tawang,Arunachal Pradesh,2,49977,465,40,423,2,2498.85,10.74774126,2498.85,0
