District,State,State No,Population,Confirmed,Active,Recovered,Deceased,Aged
Thane,Maharashtra,17,11060148,251880,10009,236285,5527,984353.172
Pune,Maharashtra,17,9429408,369065,13639,347678,7713,839217.312
Solapur,Maharashtra,17,4317756,52790,1038,49998,1740,384280.284
Ludhiana,Punjab,24,3498739,24515,437,23124,954,321883.988
Kolhapur,Maharashtra,17,3876001,49049,529,46860,1657,344964.089
Nagpur,Maharashtra,17,4653570,122888,4601,115105,3166,414167.73
Jalgaon,Maharashtra,17,4229917,55780,547,53778,1435,376462.613
Nanded,Maharashtra,17,3361292,21117,556,19907,649,299154.988
Nashik,Maharashtra,17,6107187,113524,2227,109430,1866,543539.643
Sangli,Maharashtra,17,2822143,49977,265,47946,1763,251170.727
Amritsar,Punjab,24,2490656,14321,539,13240,542,229140.352
Satara,Maharashtra,17,3003741,54111,855,51507,1739,267332.949
Surat,Gujarat,8,6081322,48350,1153,46241,956,425692.54
Aurangabad,Maharashtra,17,3701282,47419,1017,45191,1196,329414.098
Kanpur Nagar,Uttar Pradesh,30,4581268,32037,641,30580,816,320688.76
Kolkata,West Bengal,32,4496694,121313,3842,114574,2897,319265.274
Chennai,Tamil Nadu,27,4646732,223509,2982,216551,3976,413559.148
Yavatmal,Maharashtra,17,2772348,13481,495,12588,394,246738.972
Sangrur,Punjab,24,1655169,4341,40,4101,200,152275.548
Gurdaspur,Punjab,24,2298323,7833,134,7453,246,211445.716
Jalandhar,Punjab,24,2193590,19669,487,18554,628,201810.28
Latur,Maharashtra,17,2454196,23094,407,22006,677,218423.444
Durg,Chhattisgarh,6,3343872,21929,1458,19925,546,250790.4
Paschim Medinipur,West Bengal,32,5913457,19613,579,18744,290,419855.447
Murshidabad,West Bengal,32,7103807,11785,358,11282,145,504370.297
Parbhani,Maharashtra,17,1836086,7529,215,7027,276,163411.654
Madurai,Tamil Nadu,27,3038252,20392,223,19719,450,270404.428
Vellore,Tamil Nadu,27,3936331,20094,217,19538,339,350333.459
Hoshiarpur,Punjab,24,1586625,7617,185,7129,303,145969.5
Aurangabad,Maharashtra,17,2540073,47419,1017,45191,1196,226066.497
Kancheepuram,Tamil Nadu,27,3998252,28496,284,27779,433,355844.428
Akola,Maharashtra,17,1813906,10360,531,9479,345,161437.634
Hardoi,Uttar Pradesh,30,4092845,5766,104,5556,106,286499.15
Thiruvallur,Tamil Nadu,27,3728104,42359,466,41221,672,331801.256
Patiala,Punjab,24,1895686,15573,254,14850,469,174403.112
Agra,Uttar Pradesh,30,4418797,10117,228,9719,170,309315.79
Sagar,Madhya Pradesh,16,2378458,4872,196,4529,147,171248.976
Moradabad,Uttar Pradesh,30,4772006,11456,275,11005,176,334040.42
Azamgarh,Uttar Pradesh,30,4613913,5938,150,5694,94,322973.91
Tarn Taran,Punjab,24,1119627,2095,11,1981,103,103005.684
Gorakhpur,Uttar Pradesh,30,4440895,20817,294,20186,337,310862.65
Amravati,Maharashtra,17,2888445,19596,445,18771,378,257071.605
Varanasi,Uttar Pradesh,30,3676841,22114,696,20993,425,257378.87
Sitapur,Uttar Pradesh,30,4483992,4709,104,4531,74,313879.44
Purba Medinipur,West Bengal,32,5095875,19818,661,18890,267,361807.125
Krishna,Andhra Pradesh,1,4517398,47420,674,46084,662,347839.646
Ratnagiri,Maharashtra,17,1615069,11089,454,10259,374,143741.141
Nadia,West Bengal,32,5167600,21194,688,20226,280,366899.6
Rae Bareli,Uttar Pradesh,30,3405559,5099,222,4774,103,238389.13
Meerut,Uttar Pradesh,30,3443689,21335,1016,19896,423,241058.23
Osmanabad,Maharashtra,17,1657576,16739,252,15951,534,147524.264
Jaunpur,Uttar Pradesh,30,4494204,6539,189,6253,97,314594.28
Jalna,Maharashtra,17,1959046,12635,175,12122,337,174355.094
Dehradun,Uttarakhand,31,1696694,26322,1565,23536,818,149309.072
Sivasagar,Assam,3,1151050,529,22,473,34,71365.1
Lucknow,Uttar Pradesh,30,4589838,76975,2884,72994,1097,321288.66
Salem,Tamil Nadu,27,3482056,31287,337,30494,456,309902.984
Bahraich,Uttar Pradesh,30,3487731,4031,75,3882,74,244141.17
Sultanpur,Uttar Pradesh,30,3797117,4724,259,4390,75,265798.19
Raipur,Chhattisgarh,6,4063872,51473,6474,44297,702,304790.4
Dharwad,Karnataka,13,1847023,21782,127,21049,606,145914.817
Dhule,Maharashtra,17,2050862,15551,307,14898,343,182526.718
Ghazipur,Uttar Pradesh,30,3620268,5057,91,4886,80,253418.76
Unnao,Uttar Pradesh,30,3108367,4492,182,4228,82,217585.69
Jaipur,Rajasthan,25,6626178,56361,3881,51986,494,450580.104
Ambedkar Nagar,Uttar Pradesh,30,2397888,1853,66,1744,43,167852.16
Coimbatore,Tamil Nadu,27,3458045,51696,948,50106,642,307766.005
Tirunelveli,Tamil Nadu,27,3077233,15205,128,14866,211,273873.737
Indore,Madhya Pradesh,16,3276697,53011,3925,48235,851,235922.184
Dakshina Kannada,Karnataka,13,2089649,32693,339,31618,734,165082.271
Kangra,Himachal Pradesh,10,1510075,7463,729,6552,180,151007.5
Muzaffarnagar,Uttar Pradesh,30,4143512,8067,381,7585,101,290045.84
Pratapgarh,Rajasthan,25,3209141,1164,88,1057,19,218221.588
Bareilly,Uttar Pradesh,30,4448359,13842,330,13354,158,311385.13
Bijnor,Uttar Pradesh,30,3682713,4225,129,4038,58,257789.91
Dindigul,Tamil Nadu,27,2159775,10808,135,10476,197,192219.975
Shahjahanpur,Uttar Pradesh,30,3006538,6786,72,6603,111,210457.66
Ganjam,Odisha,22,3529031,21782,18,21510,254,292909.573
Basti,Uttar Pradesh,30,2464464,4996,65,4834,97,172512.48
Guntur,Andhra Pradesh,1,4887813,74423,487,73274,662,376361.601
Saharanpur,Uttar Pradesh,30,3466382,9608,474,9003,131,242646.74
Chandrapur,Maharashtra,17,2204307,22930,788,21758,383,196183.323
Tiruvannamalai,Tamil Nadu,27,2464875,19072,109,18683,280,219373.875
Fatehpur,Uttar Pradesh,30,2632733,3725,137,3523,65,184291.31
Gonda,Uttar Pradesh,30,3433919,5009,74,4868,67,240374.33
Ujjain,Madhya Pradesh,16,1986864,4511,222,4188,101,143054.208
Bidar,Karnataka,13,1703300,7223,66,6982,171,134560.7
Chittoor,Andhra Pradesh,1,4174064,85711,406,84466,839,321402.928
Firozabad,Uttar Pradesh,30,2498156,3792,52,3672,68,174870.92
Kapurthala,Punjab,24,815168,4664,103,4367,194,74995.456
Nandurbar,Maharashtra,17,1648295,7870,374,7328,167,146698.255
Visakhapatnam,Andhra Pradesh,1,4290589,58980,268,58163,549,330375.353
Wardha,Maharashtra,17,1300774,9247,483,8515,245,115768.886
Rupnagar,Punjab,24,684627,3291,201,2930,160,62985.684
Moga,Punjab,24,995746,2728,34,2603,91,91608.632
Budaun,Uttar Pradesh,30,3681896,3814,94,3675,45,257732.72
Patna,Bihar,4,5838465,47442,2040,45035,367,391177.155
Jalpaiguri,West Bengal,32,3872846,14150,437,13558,155,274972.066
Ballia,Uttar Pradesh,30,3239774,7692,183,7407,102,226784.18
Tiruchirappalli,Tamil Nadu,27,2722290,14010,205,13632,173,242283.81
Deoria,Uttar Pradesh,30,3100946,6680,106,6482,92,217066.22
Barabanki,Uttar Pradesh,30,3260699,7620,82,7439,99,228248.93
Rajgarh,Madhya Pradesh,16,1545814,2220,106,2055,59,111298.608
Maharajganj,Uttar Pradesh,30,2684703,5745,12,5643,90,187929.21
Mathura,Uttar Pradesh,30,2547184,6602,225,6268,109,178302.88
Thanjavur,Tamil Nadu,27,2405890,16970,187,16551,232,214124.21
Bathinda,Punjab,24,1388525,9010,202,8607,201,127744.3
Vadodara,Gujarat,8,4165626,23892,1801,21858,233,291593.82
Pratapgarh,Uttar Pradesh,30,3209141,5225,181,4978,66,224639.87
Tiruppur,Tamil Nadu,27,2479052,16787,416,16157,214,220635.628
Anantapur,Andhra Pradesh,1,4081148,67223,159,66468,596,314248.396
Thiruvananthapuram,Kerala,14,3301427,79740,3391,75651,629,349951.262
Jabalpur,Madhya Pradesh,16,2463289,15242,445,14560,237,177356.808
Bhiwani,Haryana,9,1634445,6213,60,6016,137,124217.82
Kushinagar,Uttar Pradesh,30,3564544,5613,71,5482,60,249518.08
Pilibhit,Uttar Pradesh,30,2031007,4113,65,3971,77,142170.49
Cuddalore,Tamil Nadu,27,2605914,24571,101,24189,281,231926.346
Raigarh,Chhattisgarh,6,2634200,20825,381,20168,276,197565
Damoh,Madhya Pradesh,16,1264219,2585,144,2367,74,91023.768
Rajkot,Gujarat,8,3804558,19589,1347,18054,188,266319.06
Bhopal,Madhya Pradesh,16,2371061,37992,2030,35399,563,170716.392
Ramanathapuram,Tamil Nadu,27,1353445,6295,23,6140,132,120456.605
Kurnool,Andhra Pradesh,1,4053463,60517,92,59938,487,312116.651
Mainpuri,Uttar Pradesh,30,1868529,3719,109,3539,71,130797.03
Krishnagiri,Tamil Nadu,27,1879809,7781,85,7580,116,167303.001
Jhansi,Uttar Pradesh,30,1998603,10012,188,9647,177,139902.21
Fatehgarh Sahib,Punjab,24,600163,2482,35,2336,111,55214.996
Hisar,Haryana,9,1743931,16848,115,16420,313,132538.756
Prakasam,Andhra Pradesh,1,3397448,61970,155,61237,578,261603.496
Virudhunagar,Tamil Nadu,27,1942288,16261,94,15939,228,172863.632
Betul,Madhya Pradesh,16,1575362,3136,80,2989,67,113426.064
Balrampur,Uttar Pradesh,30,2148665,2063,79,1951,33,150406.55
Hingoli,Maharashtra,17,1177345,4141,77,3969,95,104783.705
Bhavnagar,Gujarat,8,2880365,5714,97,5549,68,201625.55
Uttar Dinajpur,West Bengal,32,3007134,6333,160,6102,71,213506.514
Farrukhabad,Uttar Pradesh,30,1885204,4556,73,4401,82,131964.28
Washim,Maharashtra,17,1197160,6732,240,6342,148,106547.24
Ajmer,Rajasthan,25,2583052,16290,295,15779,216,175647.536
Sivaganga,Tamil Nadu,27,1339101,6476,44,6306,126,119179.989
Dhanbad,Jharkhand,12,2684487,7339,51,7186,102,166438.194
Bharatpur,Rajasthan,25,2548462,8890,176,8596,118,173295.416
South Goa,Goa,7,640537,3511,1978,1407,126,64053.7
Chhindwara,Madhya Pradesh,16,2090922,2620,32,2548,40,150546.384
Dhar,Madhya Pradesh,16,2185793,3729,144,3531,54,157377.096
Nagapattinam,Tamil Nadu,27,1616450,8029,114,7788,127,143864.05
Tikamgarh,Madhya Pradesh,16,1445166,1236,47,1162,27,104051.952
Viluppuram,Tamil Nadu,27,3458873,14916,84,14722,110,307839.697
Gaya,Bihar,4,4391418,7713,150,7504,59,294225.006
Bhandara,Maharashtra,17,1200334,12457,635,11559,261,106829.726
Birbhum,West Bengal,32,3502404,9417,350,8983,84,248670.684
Koppal,Karnataka,13,1389920,13849,94,13476,279,109803.68
Kolar,Karnataka,13,1536401,9635,115,9345,175,121375.679
Bilaspur,Himachal Pradesh,10,2663629,2779,236,2519,23,266362.9
Haveri,Karnataka,13,1597668,10946,40,10716,190,126215.772
Mirzapur,Uttar Pradesh,30,2496970,3357,149,3166,42,174787.9
Nagaur,Rajasthan,25,3307743,9271,217,8964,90,224926.524
Bilaspur,Chhattisgarh,6,2663629,17417,303,16927,187,199772.175
Erode,Tamil Nadu,27,2251744,13445,304,12998,143,200405.216
Darbhanga,Bihar,4,3937385,4007,37,3938,32,263804.795
Satna,Madhya Pradesh,16,2228935,3180,140,2999,41,160483.32
Udaipur,Rajasthan,25,3068420,11008,319,10581,108,208652.56
East Godavari,Andhra Pradesh,1,5154296,123454,429,122389,636,396880.792
Vaishali,Bihar,4,3495021,5343,86,5210,46,234166.407
Etawah,Uttar Pradesh,30,1581810,5667,137,5427,103,110726.7
Bankura,West Bengal,32,3596674,11177,416,10673,88,255363.854
Sundargarh,Odisha,22,2093437,14444,375,13902,167,173755.271
North Goa,Goa,7,818008,2668,1639,964,65,81800.8
Shimla,Himachal Pradesh,10,814010,9856,704,8873,241,81401
Mau,Uttar Pradesh,30,2205968,3031,49,2943,39,154417.76
Hassan,Karnataka,13,1776421,27842,262,27187,393,140337.259
Saran,Bihar,4,3951862,7002,250,6700,52,264774.754
Yamunanagar,Haryana,9,1214205,6301,194,5973,134,92279.58
Sindhudurg,Maharashtra,17,849651,5951,403,5393,154,75618.939
Sikar,Rajasthan,25,2677333,8850,176,8579,95,182058.644
Shahid Bhagat Singh Nagar,Punjab,24,612310,2337,66,2190,81,56332.52
Pudukkottai,Tamil Nadu,27,1618345,11361,64,11143,154,144032.705
Surguja,Chhattisgarh,6,2359886,7156,573,6505,78,176991.45
Banswara,Rajasthan,25,1797485,2029,231,1766,32,122228.98
Jind,Haryana,9,1334152,4631,182,4361,88,101395.552
West Tripura,Tripura,29,1725739,11559,85,11273,190,115624.513
Sonbhadra,Uttar Pradesh,30,1862559,4945,220,4653,72,130379.13
Samastipur,Bihar,4,4261566,5148,71,5043,34,285524.922
Vidisha,Madhya Pradesh,16,1458875,3383,121,3202,60,105039
Ratlam,Madhya Pradesh,16,1455069,4229,263,3891,75,104764.968
Davanagere,Karnataka,13,1945497,21951,143,21544,264,153694.263
Haridwar,Uttarakhand,31,1890422,13181,434,12488,145,166357.136
Gwalior,Madhya Pradesh,16,2032036,15708,341,15174,193,146306.592
Fatehabad,Haryana,9,942011,4633,111,4407,115,71592.836
Burhanpur,Madhya Pradesh,16,757847,841,7,807,27,54564.984
Raisen,Madhya Pradesh,16,1331597,2302,52,2208,42,95874.984
Hamirpur,Himachal Pradesh,10,1104285,2717,219,2454,43,110428.5
Sehore,Madhya Pradesh,16,1311332,2614,84,2482,48,94415.904
West Godavari,Andhra Pradesh,1,3936966,93721,240,92948,533,303146.382
Chandauli,Uttar Pradesh,30,1952756,4621,144,4419,58,136692.92
Raichur,Karnataka,13,1928812,14137,102,13877,158,152376.148
Barmer,Rajasthan,25,2603751,4898,154,4697,47,177055.068
Karimganj,Assam,3,1228686,1200,219,955,26,76178.532
Sant Kabir Nagar,Uttar Pradesh,30,1715183,3223,78,3101,44,120062.81
Bhagalpur,Bihar,4,3037766,9315,146,9094,75,203530.322
Jodhpur,Rajasthan,25,3687165,43239,1423,41534,282,250727.22
Kokrajhar,Assam,3,887142,408,43,353,12,55002.804
Jammu,Jammu and Kashmir,11,1529958,23243,851,22042,350,107097.06
Kannauj,Uttar Pradesh,30,1656616,3432,41,3344,47,115963.12
Malappuram,Kerala,14,4112920,87415,5173,81914,318,435969.52
Srikakulam,Andhra Pradesh,1,2703114,45889,163,45380,346,208139.778
Nainital,Uttarakhand,31,954605,10755,1030,9469,200,84005.24
Karnal,Haryana,9,1505324,10639,265,10229,145,114404.624
Bhojpur,Bihar,4,2728407,4934,66,4826,42,182803.269
Rampur,Uttar Pradesh,30,2335819,5360,89,5220,51,163507.33
Barnala,Punjab,24,595527,2262,43,2155,64,54788.484
Srinagar,Jammu and Kashmir,11,1236829,24931,639,23848,444,86578.03
Mansa,Punjab,24,769751,2377,44,2282,51,70817.092
Rewa,Madhya Pradesh,16,2365106,3737,184,3520,33,170287.632
Namakkal,Tamil Nadu,27,1726601,11048,182,10758,108,153667.489
Hoshangabad,Madhya Pradesh,16,1241350,3513,55,3399,59,89377.2
Siwan,Bihar,4,3330464,4623,80,4512,31,223141.088
Raigarh,Chhattisgarh,6,1493984,20825,381,20168,276,112048.8
Guna,Madhya Pradesh,16,1241519,1410,82,1305,23,89389.368
Shajapur,Madhya Pradesh,16,1512681,1649,68,1559,22,108913.032
Thrissur,Kerala,14,3121200,71491,6435,64735,313,330847.2
Udham Singh Nagar,Uttarakhand,31,1648902,10961,186,10557,108,145103.376
Pali,Rajasthan,25,2037573,10529,310,10111,108,138554.964
Uttara Kannada,Karnataka,13,1437169,14161,100,13886,175,113536.351
Bikaner,Rajasthan,25,2363937,18954,97,18692,165,160747.716
Sirsa,Haryana,9,1295189,7892,93,7687,112,98434.364
Baghpat,Uttar Pradesh,30,1303048,2246,133,2079,34,91213.36
Mayurbhanj,Odisha,22,2519738,13790,101,13598,91,209138.254
Jalaun,Uttar Pradesh,30,1689974,3858,115,3698,45,118298.18
Thoothukkudi,Tamil Nadu,27,1750176,15998,87,15770,141,155765.664
Janjgir Champa,Chhattisgarh,6,1619707,18269,214,17849,206,121478.025
Etah,Uttar Pradesh,30,1774480,2486,83,2376,27,124213.6
Rohtas,Bihar,4,2959918,6657,60,6552,45,198314.506
Theni,Tamil Nadu,27,1245899,16827,77,16547,203,110885.011
Karauli,Rajasthan,25,1458248,1484,55,1409,20,99160.864
Junagadh,Gujarat,8,2743082,4786,268,4485,33,192015.74
Nalanda,Bihar,4,2877653,8028,94,7879,55,192802.751
Anantnag,Jammu and Kashmir,11,1078692,4752,108,4561,83,75508.44
Kannur,Kerala,14,2523003,38243,3469,34578,188,267438.318
Ernakulam,Kerala,14,3282388,79260,8043,70907,299,347933.128
Banda,Uttar Pradesh,30,1799410,3660,122,3500,38,125958.7
Churu,Rajasthan,25,2039547,4268,129,4099,40,138689.196
Kaushambi,Uttar Pradesh,30,1599596,2245,21,2198,26,111971.72
Puducherry,Puducherry,23,950289,30332,188,29629,515,76023.12
Auraiya,Uttar Pradesh,30,1379545,3448,106,3296,46,96568.15
Gandhinagar,Gujarat,8,1391753,7921,325,7492,104,97422.71
Panipat,Haryana,9,1205437,10409,315,9949,145,91613.212
